window_size,alpha,corr_threshold,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
3,2.5,0.5,2.3186808887822457,1.1648881624199316,-0.2788064106504576
3,2.2,0.5,2.3186721465035616,1.1648857247455655,-0.27880473058715555
3,2.0,0.5,2.3186648627445643,1.1648836983340405,-0.27880333058436524
3,1.8,0.5,2.3186560041217334,1.164881231531409,-0.2788016119794793
3,2.5,0.7,2.3100963471520295,1.156457505678473,-0.27693480987919833
3,2.2,0.7,2.310081535200795,1.1564540548493134,-0.27693305747283353
3,2.0,0.7,2.31006939100292,1.1564512345733218,-0.27693159710155735
3,1.8,0.7,2.3100547684614945,1.1564478618515643,-0.2769298121631277
3,2.5,0.4,2.3069823570407855,1.1560482204212832,-0.2800952019714233
3,2.2,0.4,2.306973345321165,1.1560452969009751,-0.2800934257680655
3,2.0,0.4,2.306965833739204,1.156042854330409,-0.2800919456416568
3,1.8,0.4,2.3069566531613113,1.1560398683168036,-0.28009013665142735
3,2.5,0.6,2.3074277917126786,1.1543614964641038,-0.277460240361306
3,2.2,0.6,2.307417420638997,1.154358884768753,-0.27745859061785333
3,2.0,0.6,2.3074087855445637,1.1543567201986362,-0.2774572167204929
3,1.8,0.6,2.3073981054960138,1.1543540248572222,-0.2774555461492547
5,2.5,0.7,2.148576300584213,1.0206109122223614,-0.29188743576451887
5,2.2,0.7,2.1485165114564495,1.0206038012761027,-0.2918936755179404
5,2.0,0.7,2.1484667824542716,1.020597911585032,-0.29189885464017445
5,1.8,0.7,2.1484060336694193,1.0205907575799829,-0.29190516461151855
5,2.5,0.4,2.1092551983455854,1.0128688681374673,-0.2935020935923808
5,2.2,0.4,2.109242137986061,1.012866839635285,-0.2935037583222749
5,2.0,0.4,2.109231237375865,1.0128651274045553,-0.2935051415402989
5,1.8,0.4,2.1092178085901248,1.0128629440197905,-0.29350682990982185
5,2.5,0.5,2.1234319369673194,1.0117306589295998,-0.29386625551846224
5,2.2,0.5,2.1234050497889214,1.0117265412158551,-0.2938693357808337
5,2.0,0.5,2.123382510907285,1.0117230674705673,-0.29387189866149055
5,1.8,0.5,2.123355027946551,1.0117188581809515,-0.2938750093186978
5,2.5,0.6,2.1016812014076316,0.9971811664555217,-0.2948466308190309
5,2.2,0.6,2.101644624590449,0.9971751469045961,-0.2948511594208821
5,2.0,0.6,2.101614126013138,0.9971700717787337,-0.2948549250681276
5,1.8,0.6,2.101576908439056,0.9971638597383181,-0.29485951744429445
4,1.8,0.7,2.3058006043919934,0.9815238901895684,-0.30600671968071635
4,2.0,0.7,2.3058279210453967,0.9815233237976067,-0.3060080062982772
4,2.2,0.7,2.3058502528319385,0.9815229079109737,-0.306009058059464
4,2.5,0.7,2.3058770146794316,0.9815224067733632,-0.3060103206736494
4,2.5,0.6,2.2755991170739813,0.9685667554730735,-0.3050597256488655
4,2.2,0.6,2.275578291972103,0.9685662733415213,-0.3050588027208618
4,2.0,0.6,2.275560940349738,0.9685658723131407,-0.30505802994374076
4,1.8,0.6,2.2755397211136326,0.9685653757896645,-0.3050570850302086
4,1.8,0.5,2.2511891964599577,0.9510011728637014,-0.311664736676936
4,2.0,0.5,2.2512103012034506,0.95100027718366,-0.3116681515844972
4,2.2,0.5,2.251227579437834,0.9509995490114512,-0.31167094968238146
4,2.5,0.5,2.251248173033374,0.9509986390863568,-0.3116743282293174
4,1.8,0.4,2.2282720057168195,0.9431049498184343,-0.3125438221476803
4,2.0,0.4,2.228285112079848,0.9431019156258863,-0.3125472512085678
4,2.2,0.4,2.2282957900217286,0.9430994180507909,-0.31255005798525287
4,2.5,0.4,2.2283081015780777,0.9430963029430354,-0.31255342869393515
2,1.8,0.4,2.0342970679360866,0.8260177636430435,-0.3222422799490393
2,1.8,0.5,2.0342970679360866,0.8260177636430435,-0.3222422799490393
2,1.8,0.6,2.0342970679360866,0.8260177636430435,-0.3222422799490393
2,1.8,0.7,2.0342970679360866,0.8260177636430435,-0.3222422799490393
2,2.0,0.4,2.034283996119645,0.8260118498751499,-0.3222428803539962
2,2.0,0.5,2.034283996119645,0.8260118498751499,-0.3222428803539962
2,2.0,0.6,2.034283996119645,0.8260118498751499,-0.3222428803539962
2,2.0,0.7,2.034283996119645,0.8260118498751499,-0.3222428803539962
2,2.2,0.4,2.03427329476268,0.826007010394831,-0.32224337167093803
2,2.2,0.5,2.03427329476268,0.826007010394831,-0.32224337167093803
2,2.2,0.6,2.03427329476268,0.826007010394831,-0.32224337167093803
2,2.2,0.7,2.03427329476268,0.826007010394831,-0.32224337167093803
2,2.5,0.4,2.034260445724206,0.8260012019042531,-0.3222439613422079
2,2.5,0.5,2.034260445724206,0.8260012019042531,-0.3222439613422079
2,2.5,0.6,2.034260445724206,0.8260012019042531,-0.3222439613422079
2,2.5,0.7,2.034260445724206,0.8260012019042531,-0.3222439613422079
