epsilon,theta,eta,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
0.89,0.92,0.93,10.8725134626447,2.126358353501229,-0.2730693758957337
0.91,0.92,0.99,9.78811368375498,2.1248255035710626,-0.27045127187476836
0.91,0.94,0.99,9.771932339545726,2.1247750738686197,-0.2699434768795177
0.91,0.96,0.99,9.756242947489946,2.1245642832385547,-0.26941272805473576
0.89,0.94,0.93,10.843273453121151,2.124551447850994,-0.2725579596235641
0.91,0.98,0.99,9.744387410650729,2.1240569242015517,-0.2688718110584471
0.89,0.92,0.95,10.994350180759115,2.12345338735391,-0.2736673252497468
0.89,0.96,0.93,10.813180489993595,2.1228984927307324,-0.2720707230340384
0.91,0.96,0.97,9.608648611728473,2.1226140475027337,-0.2688971524034185
0.91,0.94,0.97,9.620837463027815,2.122333253685563,-0.2693813447585735
0.91,0.98,0.97,9.592153560965626,2.1222733652955745,-0.2683979466379829
0.89,0.94,0.95,10.967168910621703,2.121843227972922,-0.2732130872261661
0.89,0.98,0.93,10.787102456720822,2.121472137475558,-0.2715803862203117
0.91,0.92,0.97,9.628639538379073,2.1214061143590324,-0.2698434876190047
0.89,0.92,0.97,11.127795287067627,2.121134894777341,-0.27443103040493033
0.89,0.96,0.95,10.941597690402066,2.120448516144825,-0.2727942845857926
0.89,0.94,0.97,11.098149805240984,2.119334108578774,-0.27402689402823566
0.91,0.98,0.95,9.441674840988508,2.119166295066294,-0.2678250403271272
0.89,0.98,0.95,10.91327556033617,2.1186906404273254,-0.27238583615161416
0.91,0.96,0.95,9.450742483166572,2.1185251056928456,-0.26829449548033024
0.91,0.94,0.95,9.45942724310692,2.1177414967637587,-0.2687686769234108
0.89,0.96,0.97,11.066516948859588,2.117269682477414,-0.273597270017874
0.89,0.92,0.99,11.250338065110281,2.117242347012159,-0.2752127770600321
0.91,0.92,0.95,9.464576612831467,2.1164541401172317,-0.2692466849158778
0.89,0.98,0.97,11.030871237134598,2.11510330973464,-0.27315122826493177
0.89,0.94,0.99,11.21687827094645,2.1150486651674205,-0.27475196104037175
0.91,0.98,0.93,9.283874595653458,2.1142117671342877,-0.26735852223211715
0.91,0.96,0.93,9.290206401923651,2.113205679833233,-0.2678226996918335
0.89,0.96,0.99,11.180161239816425,2.1129519181291503,-0.2742426793628505
0.91,0.94,0.93,9.293509749831376,2.1118210612948687,-0.26822679743841277
0.89,0.98,0.99,11.143405402686573,2.1112935937890573,-0.2736038487993348
0.91,0.92,0.93,9.298796822477588,2.1106010799304977,-0.26860120682117283
0.93,0.98,0.99,7.6555758091659,2.0448790839423747,-0.2670373500770088
0.93,0.96,0.99,7.649011242446358,2.0435528105640186,-0.26769099498363574
0.93,0.94,0.99,7.639715957992843,2.0420531345347364,-0.26835225933152945
0.93,0.92,0.99,7.626871591888071,2.0401318808090987,-0.2690161084142522
0.93,0.98,0.97,7.5141872488752295,2.035705021746754,-0.26744324128994845
0.93,0.96,0.97,7.505967486316972,2.034201967896526,-0.2680612481006205
0.93,0.94,0.97,7.494735978281606,2.032241931978586,-0.2686781817528553
0.93,0.92,0.97,7.483174044296284,2.0298252605830562,-0.2692867110731023
0.93,0.98,0.95,7.37668664013034,2.026391067540391,-0.2677262950672497
0.93,0.96,0.95,7.366183606802464,2.0243458249764132,-0.26830795024008636
0.93,0.94,0.95,7.355934364150822,2.0218069190589114,-0.2689013001747437
0.93,0.92,0.95,7.34110284170013,2.0187431906036704,-0.2694943672432718
0.93,0.98,0.93,7.2388283667781055,2.0163085822649416,-0.2678711561760594
0.93,0.96,0.93,7.228457956717709,2.013726699793654,-0.26845884927898234
0.93,0.94,0.93,7.214777987978889,2.0107294558984954,-0.2690337393727322
0.93,0.92,0.93,7.201834242605914,2.007668017744849,-0.2696078268630161
0.95,0.98,0.99,5.744070358222366,1.8807054015453155,-0.27563135742577505
0.95,0.96,0.99,5.743088518421563,1.876905227151039,-0.27635687095818356
0.95,0.94,0.99,5.733862517018373,1.8720125066535966,-0.27725045342938426
0.95,0.98,0.97,5.662195764387038,1.8679754483415216,-0.2764264529195926
0.95,0.92,0.99,5.723793052535191,1.8668245356109785,-0.2781528679859214
0.95,0.96,0.97,5.652261547447636,1.862996912702289,-0.2772895884748015
0.95,0.94,0.97,5.642235016293496,1.8582625292345294,-0.27814915529549666
0.95,0.98,0.95,5.566690630345006,1.8536171051793708,-0.27722852273906096
0.95,0.92,0.97,5.631685521819567,1.8534813982835907,-0.2789758417231216
0.95,0.96,0.95,5.556405577737934,1.849208677381354,-0.2780102581672218
0.95,0.94,0.95,5.546822608393013,1.8448160298369263,-0.2787935815684587
0.95,0.92,0.95,5.538298800273347,1.840523188344525,-0.279564059571512
0.95,0.98,0.93,5.474294094691061,1.8403956869109084,-0.2778620425264802
0.95,0.96,0.93,5.466197662720875,1.8366339084309105,-0.27860093296258337
0.95,0.94,0.93,5.45846328361254,1.8328804186450447,-0.279346239251396
0.95,0.92,0.93,5.450945927123771,1.8287991322377088,-0.28010217287286665
