window_size,epsilon,eta,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
2,0.5,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.5,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.5,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.5,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.5,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.5,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.75,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.75,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.75,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.75,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.75,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,0.75,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.75,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.75,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.5,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.5,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.5,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.5,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.5,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.5,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.75,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.75,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.5,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.5,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.5,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.5,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.75,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.75,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.75,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.75,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.75,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.75,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.75,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
3,0.75,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.75,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.75,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.5,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.5,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.5,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.5,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.5,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.5,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.75,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.75,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.75,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
5,0.75,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.5,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.5,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.75,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.75,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.5,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.5,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.5,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
7,0.5,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.5,25,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.5,30,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.75,15,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.75,20,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.75,10,1.8616510379397195,0.9053090507881709,-0.2675128204759617
10,0.75,5,1.8616510379397195,0.9053090507881709,-0.2675128204759617
2,1.0,5,1.8384298178706984,0.9043178431864087,-0.25856844753129354
10,1.0,5,1.8566537920050368,0.9037644400157212,-0.2656331076633318
7,1.0,5,1.8536617331688183,0.9034546297090589,-0.26485224519198874
5,1.0,5,1.850427201059328,0.9033002643569782,-0.26378247875510813
3,1.0,5,1.8438885639152662,0.9032359040589816,-0.2616695120624179
2,1.0,10,1.8168248986382216,0.9026666019233305,-0.2515355151446121
10,1.0,10,1.8518016075353434,0.9022624614043411,-0.2639030862494085
7,1.0,10,1.8459625558557238,0.9016204301323718,-0.2624509216585282
5,1.0,10,1.8397050296875677,0.9012626301289238,-0.26050194719980757
3,1.0,10,1.82717781394079,0.9008877852510192,-0.2567940746644164
10,1.0,15,1.8470912894899396,0.9008010222549725,-0.2623063969992553
2,1.0,15,1.7968457735642187,0.9005511314817893,-0.24590409478822908
7,1.0,15,1.8385459979513308,0.8998082629978225,-0.2602745171952149
10,1.0,20,1.8425190567247995,0.8993781134388537,-0.26082906250705556
5,1.0,15,1.8294689021935775,0.8992054441067779,-0.257596026010428
3,1.0,15,1.8114870886008894,0.8983285092258028,-0.2526700098669102
7,1.0,20,1.8314008557586536,0.8980159606382261,-0.25829386084794026
10,1.0,25,1.8380815585166441,0.8979926004457204,-0.25945807653565206
2,1.0,20,1.77812156646693,0.8976919054445937,-0.24157735311662404
5,1.0,20,1.819698696190875,0.8971374655554838,-0.25500640918444223
10,1.0,30,1.8337745086839252,0.8966427778392964,-0.2581831153910469
7,1.0,25,1.8245178734285843,0.8962455731982732,-0.2564845361311864
3,1.0,20,1.7967659947521402,0.8956190317857091,-0.24913919342446192
2,1.0,25,1.7612563851993865,0.89532266815773,-0.2386891178102924
5,1.0,25,1.810372045587814,0.8950650401119746,-0.2526860213467125
7,1.0,30,1.8178867528649145,0.8944979309968808,-0.25482723153227516
5,1.0,30,1.801467520437236,0.8929952478653765,-0.2505949005672856
3,1.0,25,1.7829794257986422,0.8928476976799216,-0.24609260566760013
2,1.0,30,1.7456087654482624,0.8927549163245947,-0.23644570154879077
3,1.0,30,1.770218770883681,0.8902735546812146,-0.24352053041447513
10,1.25,5,1.9309847628818404,0.8714089796753841,-0.27292992429058927
7,1.25,5,1.9133032904510017,0.861901804479612,-0.2739328724774979
5,1.25,5,1.8910094953877858,0.851852551927041,-0.27431478519482694
3,1.25,5,1.8658364071409224,0.840405637513905,-0.27435740821058
10,1.5,5,1.9120996286928023,0.8391409979432687,-0.2829550362160481
10,1.25,10,1.909165869552325,0.8386569572454649,-0.282553526054217
2,1.25,5,1.8398192186495828,0.827793169248034,-0.27477249245106017
7,1.5,5,1.8827867926793374,0.8237527979296931,-0.28520787650195534
7,1.25,10,1.8787342980196988,0.8232926853251362,-0.28455968764322986
10,1.25,15,1.8911812848726224,0.8177343496671238,-0.2902842128889359
5,1.5,5,1.8466885260953276,0.8077109930885789,-0.2865988213949539
5,1.25,10,1.8413435843306225,0.8071111965888169,-0.2856968780918825
10,1.5,10,1.8761248366677274,0.7997466207939739,-0.29774070330913344
10,1.25,20,1.873300561846613,0.799318346816795,-0.2972785119032514
7,1.25,15,1.8495745119475895,0.7959598166444455,-0.2935038592775279
3,1.5,5,1.8103463838152352,0.7893793316734523,-0.28802203388677317
3,1.25,10,1.8029171207913293,0.7888739164484716,-0.28655351364534976
10,1.25,25,1.8583072141777532,0.7838975555473686,-0.30323777364262056
7,1.5,10,1.827843930842657,0.7737876785252282,-0.30175501747829664
7,1.25,20,1.823909949069872,0.7731745022856304,-0.30106283866430955
5,1.25,15,1.7983737942462361,0.7729742347277672,-0.29507507907505803
10,1.5,15,1.8433777534576208,0.7688766023826317,-0.30873230501616417
10,1.25,30,1.8412498255671061,0.7687625431970877,-0.30824521332686006
2,1.5,5,1.7714521940124446,0.7654202135745501,-0.2909815538331525
2,1.25,10,1.7623940028055594,0.7648386974612011,-0.28882685861392565
7,1.25,25,1.7985752237481722,0.7524014503746677,-0.3071496545801088
3,1.25,15,1.7507352075665323,0.7479396672563708,-0.29648042589078055
5,1.5,10,1.7675658604469997,0.7466083878198011,-0.30340635293105106
5,1.25,20,1.7623936466592514,0.7453803109795047,-0.3025065313278258
10,1.5,20,1.8110564884589184,0.7412782246288141,-0.3167285828177423
7,1.5,15,1.7768246592267922,0.7330250142469608,-0.31314627734641587
7,1.25,30,1.773534228299205,0.7324120414680941,-0.3124875299037808
5,1.25,25,1.7263532939491397,0.7180350655117195,-0.30897662063559944
10,1.5,25,1.7834471126015348,0.7178469218154429,-0.3227173235290128
3,1.5,10,1.7145175917853877,0.7148011767302244,-0.30613093768829513
3,1.25,20,1.7078486430150526,0.7133031143270376,-0.30469990559902643
2,1.25,15,1.7015312463874372,0.7131898889953023,-0.3006919053094042
7,1.5,20,1.7340007061301168,0.6988012698897779,-0.32113372889361735
10,1.5,30,1.7574465036575089,0.6961184289423792,-0.32765768472850043
5,1.5,15,1.6975572294357817,0.6937964692825944,-0.3153737002366816
5,1.25,30,1.6933878162955653,0.6926279112744935,-0.3144237026044945
3,1.25,25,1.6680388785808233,0.6815518265299534,-0.31131105750923915
2,1.5,10,1.6597447408977821,0.672757039272508,-0.3123742320789148
2,1.25,20,1.653126277072768,0.6715262554352346,-0.3100885686739125
7,1.5,25,1.6952791415948407,0.6696808075044373,-0.3268351491750231
3,1.5,15,1.6389614529191867,0.6559337931066285,-0.3181296721105847
3,1.25,30,1.6333329352862436,0.6541646319272812,-0.31661444351319357
5,1.5,20,1.6387493081541724,0.6501311326882123,-0.32360969529666384
7,1.5,30,1.6587173789258596,0.6435297481979407,-0.33111216346550815
2,1.25,25,1.6091196885601078,0.6338279736054756,-0.31749601446571357
5,1.5,25,1.5903326191579503,0.615598402939669,-0.3291405807818094
3,1.5,20,1.5827754590073986,0.6132474189919404,-0.32494314408021796
2,1.5,15,1.576647687827928,0.6029446442223925,-0.3256664471206619
2,1.25,30,1.5706828540733289,0.6002525876926976,-0.32351027501289853
5,1.5,30,1.548330991919888,0.5854130151279213,-0.3329560480308378
3,1.5,25,1.534519110540668,0.5755080993243042,-0.3298223005247881
2,1.5,20,1.5107066307292238,0.546466885408216,-0.3345872821969801
3,1.5,30,1.494995314560486,0.5412764170837315,-0.3346309645892792
2,1.5,25,1.458369848533653,0.49741540117204197,-0.3427702211544932
2,1.5,30,1.4155307849465553,0.45490438563355984,-0.35158593876270494
