methods,w,lambda_,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown,threshold,num_neighbors,rho
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.7,4.409466430861721,1.0727813265850492,-0.5412161834994288,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,4.173380735226365,1.0661452588949303,-0.5207350531828121,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,4.066187550075834,1.0658357831718086,-0.5162597638753773,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.6,4.369985241703946,1.0287399134381459,-0.5495116905970177,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,4.352657846576717,1.0202198436910508,-0.5610560160793532,,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,2.237330954938682,1.0042492769924358,-0.3351130057699244,0.1,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,2.2321625555342473,1.0018599354646849,-0.33431033419479206,0.1,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,2.2321428397728864,1.001849743001597,-0.3343103475615997,0.1,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.7,2.2292856735144184,0.9999882991607496,-0.3351129674165103,0.1,,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,3.161583991706461,0.9532989725645693,-0.546516737163808,,5.0,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,3.7259602742013365,0.9420921081184185,-0.48959425680116464,,,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,3.2253830705976,0.9364613178344973,-0.5745689659451124,,5.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,3.087032124076809,0.9355475546945551,-0.552732603552491,,5.0,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.7,1.9267885749519091,0.906181353478577,-0.2684997860572073,0.1,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,1.926788571706263,0.9061813462856447,-0.2684997785887784,0.1,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,1.9267885673150489,0.9061813362864518,-0.2684997725118028,0.1,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,1.9267885224176844,0.9061813120280791,-0.2684997110330432,0.1,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,3.628300700322704,0.8971527243031627,-0.4936538326992608,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.7,3.695788963354871,0.8820494872093013,-0.5066707273740232,,,
