sample_selection,portfolio_optimization,w,final_wealth,exp_growth,sharpe,ss_threshold,ss_num_neighbors,ss_rho,po_lambda,runtime_seconds
histogram_based_selection,semi_log_optimal_portfolio,4,610.4945475213648,0.002124633773548175,1.158444695641502,0.2,3,0.7,0.5,3741.9303348064423
histogram_based_selection,markowitz_portfolio,4,578.2082620073419,0.00210663601148266,1.1494811969574987,0.2,3,0.7,0.5,1777.7120189666748
histogram_based_selection,log_optimal_portfolio,4,598.7398497833301,0.0021181938377728598,1.1491573517599079,0.2,3,0.7,0.5,2366.4044227600098
histogram_based_selection,markowitz_portfolio,3,469.03985680616074,0.0020373261832940036,1.0989806188595952,0.2,3,0.7,0.5,2780.107629299164
histogram_based_selection,semi_log_optimal_portfolio,3,457.03855805392345,0.0020287405629163036,1.0937984251456736,0.2,3,0.7,0.5,2168.0701100826263
histogram_based_selection,log_optimal_portfolio,3,422.32031550348,0.002002571734874846,1.0765492266339942,0.2,3,0.7,0.5,3541.0145995616913
histogram_based_selection,log_optimal_portfolio,10,373.2524443351752,0.001961661141167937,1.0376267218056454,0.2,3,0.7,0.5,2318.391014099121
histogram_based_selection,markowitz_portfolio,10,346.00130029903147,0.001936549365068019,1.0304942436223525,0.2,3,0.7,0.5,1768.5262596607208
histogram_based_selection,semi_log_optimal_portfolio,10,336.02156835938064,0.0019268550345971484,1.0265213391857646,0.2,3,0.7,0.5,2321.811559200287
histogram_based_selection,markowitz_portfolio,5,127.5735864180272,0.0016060594059255035,0.9173346618255784,0.2,3,0.7,0.5,1771.799936056137
histogram_based_selection,log_optimal_portfolio,5,115.62639242987629,0.001573489313811476,0.899352315143774,0.2,3,0.7,0.5,2313.5307610034943
histogram_based_selection,semi_log_optimal_portfolio,5,111.42609482082752,0.001561232707656307,0.897299487190765,0.2,3,0.7,0.5,3727.468793153763
kernel_based_selection,markowitz_portfolio,5,15.08279322313881,0.0008988256284948666,0.5798924778229033,0.2,3,0.7,0.5,1023.3693559169769
kernel_based_selection,semi_log_optimal_portfolio,5,12.696246911916536,0.0008417709278050833,0.5570259743358731,0.2,3,0.7,0.5,1415.7673580646515
kernel_based_selection,log_optimal_portfolio,5,11.246212748743858,0.0008016003403169356,0.5409629414241826,0.2,3,0.7,0.5,1588.530499458313
