window_size,epsilon,eta,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
10,1.5,30,3.185456074412187,1.3437376409100632,-0.25402004761134533
10,1.5,25,3.01174141451319,1.3257949084542378,-0.24922294630830716
10,1.5,20,2.7992228584567975,1.29071095953703,-0.24572684194321387
7,1.5,30,2.9016427959916533,1.2865417104188799,-0.2561957701798737
7,1.5,25,2.7728280947529926,1.2693571818133167,-0.25362511316219294
10,1.25,30,2.542202248597382,1.24766472426808,-0.2403700496846851
7,1.5,20,2.6211992034381346,1.2413824441263608,-0.251996894062915
10,1.5,15,2.5719805888394895,1.2407128916383245,-0.2442438687741077
5,1.5,30,2.6095082329591186,1.223323280642807,-0.25446119250496774
10,1.25,25,2.4266302839163325,1.21419775466163,-0.2401152021946456
5,1.5,25,2.5181331053423412,1.207038964618834,-0.2542957639464567
7,1.25,30,2.4190915615931994,1.2034495017607305,-0.2467360207506381
7,1.5,15,2.4452729265328674,1.1982349989475647,-0.25018121365318846
5,1.5,20,2.412997616873119,1.18301825156516,-0.25384695262777407
7,1.25,25,2.3290675974448263,1.1750035841736255,-0.2461230994994666
10,1.25,20,2.3102858615921966,1.1717548648964529,-0.24087711405196988
10,1.5,10,2.3331495551417056,1.1641323690849825,-0.24509806383151744
3,1.5,30,2.4006669119864537,1.156389525107368,-0.25564257094945614
5,1.25,30,2.2745331329242835,1.1512348515562494,-0.24935148172584243
5,1.5,15,2.292493256935541,1.14520456031741,-0.2530689920054879
7,1.25,20,2.23485715651508,1.1383075458817935,-0.24633144759273673
3,1.5,25,2.3241671673292146,1.1372952780666759,-0.25616954595993835
7,1.5,10,2.2541127814631303,1.130889894028599,-0.250417560563844
5,1.25,25,2.2089467430669836,1.1259622879633304,-0.24907575689041753
10,1.25,15,2.1936844148186485,1.1213512916008983,-0.24349774781087552
3,1.5,20,2.2474584195895195,1.1134352293203102,-0.2563532218473804
2,1.5,30,2.201774884938411,1.1041516149456192,-0.25161166862797
5,1.25,20,2.1425963604518135,1.0954396224569884,-0.2497911663604297
7,1.25,15,2.1407232848991447,1.093763084016954,-0.24846433817840557
5,1.5,10,2.1582603950902284,1.0890587911622887,-0.25361576594251717
3,1.25,30,2.15068537210698,1.0862852844041384,-0.2531958256669763
2,1.5,25,2.1567405154540746,1.0852813120855234,-0.2530873543539112
3,1.5,15,2.1622434883798953,1.080391929295759,-0.25634878135417655
3,1.25,25,2.1062161475940617,1.0658044204457469,-0.2539662741644811
10,1.25,10,2.083452732553219,1.0642558265516953,-0.24820858260269457
2,1.5,20,2.110333042683189,1.062360273159613,-0.25482675747097855
5,1.25,15,2.075029040443057,1.0598045902834454,-0.2518157404586787
10,1.5,5,2.1001886050505596,1.0586066690079585,-0.2520361202149078
7,1.25,10,2.051841189355823,1.0453004040554728,-0.25210895626576935
3,1.25,20,2.060435597942276,1.0426455628334683,-0.25512593335142614
2,1.25,30,2.0562632004462373,1.0418669996325554,-0.25437158587480513
7,1.5,5,2.066275303195609,1.0396974072858363,-0.25576619923020594
3,1.5,10,2.070690945854503,1.0369164936308368,-0.2583553293411996
2,1.5,15,2.060514094236966,1.0352172448383121,-0.25692284264096316
2,1.25,25,2.029737317772597,1.0259158497212328,-0.2558230180170935
5,1.25,10,2.009239817276081,1.0210345111426975,-0.2547838019333985
3,1.25,15,2.0151674078790416,1.0179520592534472,-0.25670118156591326
5,1.5,5,2.021590315000618,1.0161343364361015,-0.2582136359285262
2,1.25,20,2.003538774245531,1.0094007609539226,-0.25735760813725367
2,1.5,10,2.008281380709581,1.0037871758438424,-0.2597776594840502
10,1.25,5,1.9749718013422384,0.9979794101828612,-0.25483287134669624
2,1.25,15,1.9760023419341184,0.9911466945589282,-0.25909459941684254
3,1.25,10,1.9703624451895867,0.991097205462904,-0.25865570165256846
7,1.25,5,1.9596408632037012,0.9876841823836735,-0.25705590001641776
3,1.5,5,1.9790243751022718,0.9862423467022214,-0.2617054769805149
5,1.25,5,1.939360847725093,0.974760511122326,-0.2587253845352272
2,1.25,10,1.9462734531149597,0.9704626823021127,-0.26114430910383263
2,1.5,5,1.9511336942833164,0.9666168972506748,-0.26318318648111094
